contrastBright,scaleBright,contrastDark,scaleDark,fontSizeHeader,fontSizeContent,lineHeight,fontFamily,fontWeight,_id
9.49,0.08,5.13,0.19,50,47,74,行楷,300,6270ba0196f14ef90e103884
8.76,0.09,4.32,0.23,47,33,44,行楷,300,6270bb7696f14ef90e103885
11.9,0.05,5.88,0.16,36,24,36,黑体,300,6270c07096f14ef90e103886
21,0,21,0,54,26,58,黑体,300,6270cacf96f14ef90e103887
2.65,0.37,1.81,0.5,24,18,30,黑体,300,6270d9a696f14ef90e103888
5.13,0.19,3.02,0.33,24,18,31,宋体,300,6270de5996f14ef90e103889
5.13,0.19,3.02,0.33,24,18,31,宋体,300,6270ded696f14ef90e10388a
2,0.5,2,0.5,24,18,30,黑体,300,6270df6196f14ef90e10388b
2,0.5,2,0.5,24,18,30,黑体,300,6270e00796f14ef90e10388c
2,0.5,2,0.5,24,18,30,黑体,300,6270e04d96f14ef90e10388d
2,0.5,2,0.5,24,18,30,黑体,300,6270e09e96f14ef90e10388e
2,0.5,2,0.5,24,18,30,黑体,300,6270e0d196f14ef90e10388f
2,0.5,2,0.5,24,18,30,黑体,300,6270e0d196f14ef90e103890
5.56,0.17,3.2,0.31,24,24,43,黑体,300,6270e1df96f14ef90e103891
2,0.5,2,0.5,24,18,30,黑体,300,6270e31e96f14ef90e103892
2.02,0.46,1.81,0.5,24,18,30,黑体,300,6270e34096f14ef90e103893
1.23,0.65,1.81,0.5,40,39,30,黑体,300,6270e4fc96f14ef90e103894
2.47,0.39,2.35,0.41,36,23,30,黑体,300,6270e79096f14ef90e103895
2.47,0.39,2.35,0.41,36,23,30,黑体,300,6270e7b596f14ef90e103896
2.47,0.39,2.35,0.41,36,23,30,黑体,300,6270e7b596f14ef90e103897
1.81,0.5,3.08,0.32,24,30,30,宋体,300,6270e9b296f14ef90e103898
2,0.5,2,0.5,24,18,30,黑体,300,6270e9ba96f14ef90e103899
3.33,0.3,2.8,0.35,24,18,38,黑体,300,6270edc896f14ef90e10389a
3.33,0.3,2.8,0.35,24,18,38,黑体,300,6270eee896f14ef90e10389b
5.13,0.19,3.02,0.33,24,18,31,宋体,300,6270ef1f96f14ef90e10389c
9.49,0.08,3.96,0.25,47,23,43,宋体,300,6270efb096f14ef90e10389d
2,0.5,2,0.5,24,18,30,黑体,300,6270f19f96f14ef90e10389e
2,0.5,2,0.5,24,18,30,黑体,300,6270f19f96f14ef90e10389f
2.27,0.42,3.2,0.31,33,20,37,黑体,300,6270f21996f14ef90e1038a0
7.83,0.11,6.85,0.13,29,22,47,宋体,300,6270f27796f14ef90e1038a1
4.12,0.24,3.54,0.28,65,46,60,黑体,700,6270f2b396f14ef90e1038a2
2,0.5,2,0.5,24,43,30,黑体,300,6270f2b996f14ef90e1038a3
2,0.5,2,0.5,24,25,43,黑体,700,6270f2e296f14ef90e1038a4
2,0.5,2,0.5,24,18,30,黑体,300,6270f30296f14ef90e1038a5
2,0.5,2,0.5,24,18,30,黑体,300,6270f31896f14ef90e1038a6
6.85,0.13,5.56,0.17,15,14,24,黑体,300,6270f31b96f14ef90e1038a7
2.35,0.41,2.56,0.38,25,44,40,黑体,300,6270f34b96f14ef90e1038a8
1.81,0.5,2.56,0.38,24,18,30,黑体,300,6270f39c96f14ef90e1038a9
3.02,0.33,3.69,0.27,25,26,40,黑体,300,6270f3b596f14ef90e1038aa
3.33,0.3,4.12,0.24,24,23,40,黑体,300,6270f3e896f14ef90e1038ab
0.5,24,黑体,1.81,0.44,2.13,27,42,300,6270f42196f14ef90e1038ac
10.33,0.07,9.49,0.08,64,29,47,黑体,300,6270f46a96f14ef90e1038ad
5.41,0.18,4.53,0.22,35,24,40,黑体,300,6270f4a496f14ef90e1038ae
2.2,0.43,2.35,0.41,31,24,34,黑体,300,6270f4a496f14ef90e1038af
2.7,0.36,2.47,0.39,24,18,30,黑体,300,6270f4bd96f14ef90e1038b0
2,0.5,2,0.5,24,18,30,宋体,300,6270f4e396f14ef90e1038b1
14.8,0.03,14.8,0.03,41,24,43,黑体,300,6270f50496f14ef90e1038b2
1.47,0.58,1.81,0.5,24,18,30,黑体,300,6270f53c96f14ef90e1038b3
1.81,0.5,1.04,0.72,65,48,60,黑体,700,6270f57d96f14ef90e1038b4
0.5,24,黑体,1.81,0.44,2.13,27,42,300,6270f58b96f14ef90e1038b5
2.56,0.38,1.04,0.72,65,48,60,黑体,700,6270f5ac96f14ef90e1038b6
1.81,0.5,1.04,0.72,65,48,60,黑体,700,6270f5ac96f14ef90e1038b7
2,0.5,2,0.5,24,18,30,黑体,300,6270f5b496f14ef90e1038b8
2,0.5,2,0.5,24,18,30,行楷,300,6270f5ed96f14ef90e1038b9
5.13,0.19,14.8,0.03,55,33,57,黑体,300,6270f5f896f14ef90e1038ba
2,0.5,2,0.5,24,18,30,黑体,300,6270f61a96f14ef90e1038bb
2,0.5,2,0.5,24,18,30,黑体,300,6270f62396f14ef90e1038bc
2,0.5,2,0.5,24,18,30,黑体,300,6270f62396f14ef90e1038bd
2,0.5,2,0.5,24,18,30,黑体,700,6270f66096f14ef90e1038be
6.24,0.15,5.56,0.17,32,23,38,宋体,300,6270f66896f14ef90e1038bf
2,0.5,2,0.5,24,18,30,黑体,300,6270f66996f14ef90e1038c0
1.08,0.7,1.81,0.5,24,18,30,黑体,300,6270f6a396f14ef90e1038c1
2,0.5,2,0.5,24,18,30,黑体,300,6270f6b996f14ef90e1038c2
2,0.5,2,0.5,24,18,30,黑体,300,6270f6c796f14ef90e1038c3
5.56,0.17,3.2,0.31,24,24,43,黑体,300,6270f6de96f14ef90e1038c4
2.56,0.38,1.04,0.72,65,48,60,黑体,700,6270f6f796f14ef90e1038c5
2,0.5,2,0.5,24,18,30,黑体,300,6270f74b96f14ef90e1038c6
2,0.5,2,0.5,24,18,30,行楷,300,6270f74b96f14ef90e1038c7
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f77e96f14ef90e1038c8
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f77e96f14ef90e1038c9
2,0.5,2,0.5,24,18,30,黑体,300,6270f78796f14ef90e1038ca
2,0.5,2,0.5,24,18,30,黑体,300,6270f79396f14ef90e1038cb
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f79596f14ef90e1038cc
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f79596f14ef90e1038cd
1.08,0.7,1.81,0.5,26,46,30,黑体,300,6270f79596f14ef90e1038ce
2.7,0.36,2.47,0.39,24,19,45,黑体,300,6270f81c96f14ef90e1038cf
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f84696f14ef90e1038d0
1.08,0.7,1.81,0.5,26,46,30,黑体,300,6270f84696f14ef90e1038d1
1.08,0.7,1.81,0.5,66,59,30,黑体,300,6270f84696f14ef90e1038d2
1.58,0.55,3.02,0.33,22,20,30,黑体,300,6270f84696f14ef90e1038d3
21,0,21,0,30,25,38,宋体,300,6270f85796f14ef90e1038d4
1.01,0.73,1.01,0.73,100,100,120,行楷,700,6270f86296f14ef90e1038d5
3.08,0.32,2.7,0.36,39,39,68,行楷,700,6270f86796f14ef90e1038d6
3.08,0.32,2.7,0.36,39,39,68,行楷,700,6270f87c96f14ef90e1038d7
21,0,7.31,0.12,32,25,36,黑体,300,6270f89096f14ef90e1038d8
21,0,21,0,29,28,42,黑体,300,6270f89396f14ef90e1038d9
1.73,0.52,1.51,0.57,24,64,30,黑体,300,6270f89496f14ef90e1038da
3.08,0.32,2.7,0.36,39,39,68,行楷,700,6270f89e96f14ef90e1038db
3.08,0.32,2.7,0.36,39,39,68,行楷,700,6270f89e96f14ef90e1038dc
3.69,0.27,2.56,0.38,26,20,46,黑体,300,6270f8c096f14ef90e1038dd
1.87,0.49,2.13,0.44,41,41,64,宋体,700,6270f8dd96f14ef90e1038de
1.4,0.6,1.81,0.5,54,47,30,黑体,300,6270f8e496f14ef90e1038df
1.87,0.49,2.13,0.44,41,44,64,宋体,700,6270f8f096f14ef90e1038e0
1.87,0.49,2.13,0.44,41,41,64,宋体,700,6270f8f096f14ef90e1038e1
2,0.5,2,0.5,24,18,30,黑体,300,6270f90396f14ef90e1038e2
2,0.5,2,0.5,46,29,53,黑体,700,6270f92c96f14ef90e1038e3
3.54,0.28,2.65,0.37,7,11,30,黑体,300,6270f92f96f14ef90e1038e4
1.68,0.53,1.2,0.66,49,43,89,黑体,300,6270f93e96f14ef90e1038e5
2,0.5,2,0.5,24,18,30,宋体,700,6270f95096f14ef90e1038e6
2,0.5,2,0.5,46,38,53,黑体,700,6270f97196f14ef90e1038e7
3.54,0.28,6.24,0.15,7,11,30,黑体,300,6270f97596f14ef90e1038e8
1.01,0.73,1.01,0.73,100,100,120,黑体,700,6270f98796f14ef90e1038e9
7.31,0.12,6.63,0.14,26,26,45,黑体,300,6270f99596f14ef90e1038ea
8.43,0.1,2.56,0.38,24,23,30,黑体,300,6270f9a196f14ef90e1038eb
3.54,0.28,6.24,0.15,7,11,30,黑体,300,6270f9ae96f14ef90e1038ec
2,0.5,2,0.5,24,18,30,黑体,300,6270f9b196f14ef90e1038ed
1.96,0.47,1.81,0.5,24,18,30,黑体,300,6270f9bd96f14ef90e1038ee
1.96,0.47,1.81,0.5,24,18,30,黑体,300,6270f9c996f14ef90e1038ef
2,0.5,2,0.5,24,18,30,黑体,300,6270f9cd96f14ef90e1038f0
2.91,0.34,3.54,0.28,22,17,40,黑体,300,6270f9ce96f14ef90e1038f1
